,Venue Category,Street,0
402,Shop,Aziëlaan,4
403,Shop,Barnsteenlaan,2
404,Shop,Bellamystraat,3
405,Shop,Bernadottelaan,5
406,Shop,Biltstraat,8
407,Shop,Bolstraat,5
408,Shop,Bouwstraat,4
409,Shop,Briljantlaan,2
410,Shop,Buurkerkhof,20
411,Shop,Carry van Bruggenstraat,8
412,Shop,De Vooysplantsoen,2
413,Shop,Detmoldstraat,10
414,Shop,Domstraat,19
415,Shop,Dr. H.J. Lovinklaan,2
416,Shop,Duifstraat,3
417,Shop,Eligenhof,11
418,Shop,Gansstraat,8
419,Shop,Geertekerkhof,11
420,Shop,Geertestraat,11
421,Shop,Gerard Noodtstraat,3
422,Shop,Griftstraat,2
423,Shop,Groenestraat,11
424,Shop,Groenmarktstraat,2
425,Shop,Hartingstraat,8
426,Shop,Heemstedelaan,4
427,Shop,Henriëtte Roland Holststraat,8
428,Shop,Hollandse Toren,14
429,Shop,Homeruslaan,3
430,Shop,Huizingalaan,1
431,Shop,Ina Boudier-Bakkerlaan,3
432,Shop,Jacob van der Borchstraat,3
433,Shop,Jacobijnenstraat,11
434,Shop,Jan van den Doemstraat,2
435,Shop,Janskerkhof,14
436,Shop,Jansveld,14
437,Shop,Jeruzalemstraat,17
438,Shop,Johan van Oldenbarneveltlaan,5
439,Shop,Justus van Effenstraat,8
440,Shop,Jutfaseweg,1
441,Shop,Kerkstraat,7
442,Shop,Korte Jansstraat,17
443,Shop,Korte Jufferstraat,14
444,Shop,Lamérislaan,2
445,Shop,Lange Jufferstraat,14
446,Shop,Lange Nieuwstraat,13
447,Shop,Lange Smeestraat,15
448,Shop,Livingstonelaan,2
449,Shop,Loderlaan,1
450,Shop,M.A. de Ruyterstraat,1
451,Shop,Maliebaan,6
452,Shop,Maliestraat,4
453,Shop,Mgr. van de Weteringstraat,8
454,Shop,Minstraat,2
455,Shop,Moreelsehoek,9
456,Shop,Mulderstraat,7
457,Shop,Neude,17
458,Shop,Nicolaas Beetsstraat,3
459,Shop,Nieuwe Koekoekstraat,2
460,Shop,Nieuwegracht,18
461,Shop,Nieuwegracht aan de Werf,7
462,Shop,Nieuwekade,2
463,Shop,Nieuwekamp,8
464,Shop,Nobelstraat,17
465,Shop,Obbinklaan,2
466,Shop,Oosterkade,7
467,Shop,Oranje-Nassaulaan,10
468,Shop,Oudegracht,13
469,Shop,Oudegracht aan de Werf,19
470,Shop,Oudkerkhof,20
471,Shop,Oudwijkerveldstraat,5
472,Shop,Parkstraat,13
473,Shop,Prins Hendriklaan,2
474,Shop,Prof. Zonnebloemlaan,2
475,Shop,Ridderschapstraat,9
476,Shop,Rolderdiephof,2
477,Shop,Rubenslaan,1
478,Shop,Springweg,12
479,Shop,Stationsstraat,12
480,Shop,Steenweg,20
481,Shop,Tolsteegplantsoen,2
482,Shop,Tolsteegsingel,7
483,Shop,Troosterhof,2
484,Shop,Trumanlaan,5
485,Shop,Van Bijnkershoeklaan,4
486,Shop,Van Eysingalaan,3
487,Shop,Van Heuven Goedhartlaan,1
488,Shop,Van Humboldtstraat,2
489,Shop,Van Kleffenslaan,1
490,Shop,Van Lidth de Jeudestraat,8
491,Shop,Van Vollenhovenlaan,5
492,Shop,Van der Helststraat,1
493,Shop,Vinkenburgstraat,16
494,Shop,Vondellaan,5
495,Shop,Voorsterbeeklaan,2
496,Shop,Voorstraat,15
497,Shop,Vredenburg,13
498,Shop,Wagendwarsstraat,5
499,Shop,Wagenstraat,6
500,Shop,Weerdsingel O.Z.,4
501,Shop,Willem van Noortplein,1
502,Shop,Wittevrouwensingel,3
503,Shop,Wolter Heukelslaan,5
504,Shop,Wolvenplein,8
505,Shop,Zakkendragershof,14
506,Shop,Zuilenstraat,15
507,Transport Spot,Adelaarstraat,1
508,Transport Spot,Adriaanstraat,1
509,Transport Spot,Adriaen van Ostadelaan,4
510,Transport Spot,Albert van Dalsumlaan,2
511,Transport Spot,Alkhof,4
512,Transport Spot,Bolstraat,1
513,Transport Spot,Bouwstraat,1
514,Transport Spot,Briljantlaan,2
515,Transport Spot,Buys Ballotstraat,1
516,Transport Spot,De Vooysplantsoen,3
517,Transport Spot,Detmoldstraat,6
518,Transport Spot,Dr. H.J. Lovinklaan,1
519,Transport Spot,Gansstraat,3
520,Transport Spot,Gerard Noodtstraat,1
521,Transport Spot,Griftstraat,2
522,Transport Spot,Groenmarktstraat,2
523,Transport Spot,Heemstedelaan,3
524,Transport Spot,Henriëtte Roland Holststraat,3
525,Transport Spot,Herculeslaan,2
526,Transport Spot,Homeruslaan,1
527,Transport Spot,Huizingalaan,3
528,Transport Spot,Ina Boudier-Bakkerlaan,3
529,Transport Spot,Jacob van der Borchstraat,1
530,Transport Spot,Jeruzalemstraat,1
531,Transport Spot,Jutfaseweg,3
532,Transport Spot,Loderlaan,1
533,Transport Spot,M.A. de Ruyterstraat,3
534,Transport Spot,Mgr. van de Weteringstraat,1
535,Transport Spot,Minstraat,2
536,Transport Spot,Moreelsehoek,1
537,Transport Spot,Nieuwekade,1
538,Transport Spot,Olof Palmelaan,1
539,Transport Spot,Oosterkade,4
540,Transport Spot,Oranje-Nassaulaan,6
541,Transport Spot,Oudwijkerveldstraat,1
542,Transport Spot,Pal Maleterstraat,1
543,Transport Spot,Parkstraat,1
544,Transport Spot,Rolderdiephof,1
545,Transport Spot,Rubenslaan,3
546,Transport Spot,Stationsstraat,1
547,Transport Spot,Tolsteegplantsoen,2
548,Transport Spot,Tolsteegsingel,3
549,Transport Spot,Van Eysingalaan,1
550,Transport Spot,Van Humboldtstraat,1
551,Transport Spot,Van Vollenhovenlaan,1
552,Transport Spot,Van der Helststraat,1
553,Transport Spot,Vondellaan,3
554,Transport Spot,Voorsterbeeklaan,1
555,Transport Spot,Vredenburg,1
556,Transport Spot,Wagendwarsstraat,1
557,Transport Spot,Wageningseberg,3
558,Transport Spot,Wagenstraat,1
559,Transport Spot,Willem Barentszstraat,1
560,Transport Spot,Willem van Noortplein,1
