Postcode_Number,District, District_latitude, District_longitue,Neighbourhood,Neigh_latitude,Neigh_longitude,Zipcode,Street,Latitude,Longitude
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981EW,Krommerijnstraat,52.06902168,5.199661877
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981EV,Langstraat,52.06925321,5.200814328
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981ET,Langstraat,52.06888673,5.200657696
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981ES,Eendrachtstraat,52.06865303,5.199803456
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981ER,Eendrachtstraat,52.06844971,5.200229877
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981EP,van Hardenbroeklaan,52.06876829,5.19926502
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981EP,Thea Beckmanpad,52.06876829,5.19926502
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981EN,van Hardenbroeklaan,52.06803564,5.199259804
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981EM,Kerkpad,52.06858196,5.202914163
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981EL,van Beeck Calkoenlaan,52.06909674,5.197423573
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981EK,Burg v d Weijerstraat,52.0669699,5.204243816
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981EJ,Burg v d Weijerstraat,52.06653634,5.203700865
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981EH,Burg v d Weijerstraat,52.06709429,5.204682099
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981EG,Smalleweg,52.06721063,5.202190334
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981EE,Smalleweg,52.06694368,5.202830136
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981ED,van Beesdelaan,52.0698144,5.197209295
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981EC,van Beesdelaan,52.06952976,5.197412674
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981EB,Dorpsstraat,52.06782023,5.201692538
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981EA,Dorpsstraat,52.06770092,5.202115114
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981DC,Spoorstraat,52.06383416,5.198783113
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981DB,Joh de Kruijfstraat,52.06425775,5.199453015
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981DA,Joh de Kruijfstraat,52.06409356,5.200022931
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CZ,Spoorerf,52.06376686,5.205842934
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CX,Ds Pasmastraat,52.06560658,5.198836723
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CW,Ds Pasmastraat,52.06547611,5.199330371
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CV,Arie van de Heuvelstraat,52.06495169,5.200683214
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CT,Arie van de Heuvelstraat,52.0655035,5.200398865
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CS,Zuster Spinhovenlaan,52.06511223,5.200081721
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CR,Zuster Spinhovenlaan,52.06482087,5.200106358
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CP,Groeneweg,52.06270999,5.19355456
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CN,Groeneweg,52.06350188,5.197089955
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CM,Groeneweg,52.06362353,5.199158339
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CL,Groeneweg,52.06427107,5.201190454
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CK,Groeneweg,52.06325039,5.198491081
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CJ,Kerkstraat,52.06458705,5.20426547
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CH,Dr Brevéestraat,52.06434165,5.203253027
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CG,Dr Brevéestraat,52.06387526,5.202887166
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CE,Dr Brevéestraat,52.06401058,5.204553022
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CD,Ter Hulstraat,52.0649783,5.203091797
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CC,Molenweg,52.0657049,5.201260771
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CB,Molenweg,52.06559351,5.202295219
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981CA,Molenweg,52.06608231,5.201386533
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981BX,Kon Willem III-straat,52.06584952,5.21085245
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981BW,Kon Willem III-straat,52.06598109,5.211284897
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981BV,Rijnzichtlaan,52.06605327,5.20880159
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981BT,Rijnzichtlaan,52.06490556,5.207467337
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981BS,Rijnzichtlaan,52.0657487,5.207947185
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981BR,Prinses Irenestraat,52.06574585,5.207568859
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981BP,Prins Bernhardstraat,52.06646287,5.207954274
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981BN,Prins Bernhardstraat,52.06538005,5.206474059
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981BM,Prins Bernhardstraat,52.06664874,5.20762641
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981BL,Prins Bernhardstraat,52.06570146,5.206335834
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981BK,Prinses Beatrixstraat,52.06664961,5.208857714
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981BJ,Prinses Beatrixstraat,52.06767791,5.205367428
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981BH,Prinses Beatrixstraat,52.06703065,5.208817183
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981BG,Prinses Beatrixstraat,52.06791407,5.205151049
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981BE,Prinses Margrietstraat,52.06716387,5.206193505
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981BD,Prinses Christinalaan,52.06743787,5.205328541
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981BC,Koningin Julianalaan,52.0666618,5.207017084
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981BB,Koningin Julianalaan,52.06572489,5.205759044
